id,artist_id,release_id,artist_mbtags,artist_mbtags_count,bars_confidence,bars_start,beats_confidence,beats_start,duration,end_of_fade_in,hotttnesss,key,key_confidence,loudness,mode,mode_confidence,start_of_fade_out,tatums_confidence,tatums_start,tempo,time_signature,time_signature_confidence,title,year
SOZVMJI12AB01808AF,ARNPAGP1241B9C7FD4,541101,0,0,0.026,0.66829,0.821,0.22335,165.69424,0.162,0,7,0.011,-6.787,1,0.568,157.391,0.682,0.22335,138.331,4,0.127,0,0
SOWTBJW12AC468AC6E,ARQGYP71187FB44566,605134,0,0,0.163,0.12236,0,0.12236,151.84934,2.827,-1,1,0.799,-15.221,1,0.716,146.199,0.617,0.12236,86.186,3,0.929,0,0
SOBEBDG12A58A76D60,ARI3BMM1187FB4255E,239740,0,0,0.899,0.46253,0.899,0.46253,220.78649,0.206,0,11,0.809,-8.514,1,0.521,207.656,0.841,0.16228,110.382,1,0.192,0,0
SOZCTXZ12AB0182364,AR5KOSW1187FB35FF4,386995,0,0,0.552,1.06937,0,0.51434,269.58322,0,0.313562114,2,0.596,-8.05,1,0.666,256.168,0.978,0.51434,111.874,4,1,0,0
SOBBUGU12A8C13E95D,ARMAC4T1187FB3FA4C,223365,0,1,0.027,1.06698,0.931,0.33578,207.77751,0.061,0.666527846,7,0.381,-4.264,1,0.453,204.696,0.654,0.15349,166.862,4,0,0,2004
SOBLGCN12AB0183212,AR47JEX1187B995D81,652784,0,0,0.006,0.70311,0.587,0.26706,124.86485,0,0.495293621,10,0.697,-12.332,1,0.541,115.74,1,0.04025,137.522,4,0,0,1985
SOPSWQW12A6D4F8781,ARGIWFO1187B9B55B7,45730,0,0,0.857,0.08901,0.857,0.08901,225.09669,0,0.375984302,7,0.53,-5.908,1,0.512,225.097,0.24,0.08901,164.672,1,0,0,0
SOZQDIU12A58A7BCF6,ARNTLGG11E2835DDB9,672016,0,0,0.063,0.93643,1,0.45716,338.31138,0,-1,6,0.687,-6.486,0,0.486,338.311,0.956,0.21693,125.006,4,1,0,0
SONYPOM12A8C13B2D7,ARDNS031187B9924F0,160881,0,0,0,0.52648,0,0.52648,186.48771,1.083,-1,5,0.762,-4.516,1,0.539,175.467,0.231,0.07391,90.022,1,0.971,0,2005
SOBZBAZ12A6D4F8742,AROUOZZ1187B9ABE51,59744,0,0,0.02,1.01964,1,0.06314,168.25424,0.2,-1,8,0.812,-9.616,1,0.736,161.89,0.959,0.06314,127.025,4,0.792,0,1997
SOVYKGO12AB0187199,ARH4Z031187B9A71F2,373723,0,0,0.096,0.97531,0.987,0.3393,156.39465,0.562,0,8,0.569,-18.051,1,0.495,150.634,0.67,0.3393,95.957,3,0.689,0,1961
SOGNCJP12A58A80271,ARB29H41187B98F0EF,228326,0,1,0.145,0.96908,0.708,0.42073,342.56934,0.063,0.413739836,6,0.381,-11.939,1,0.538,333.154,0.462,0.13836,110.189,3,0.353,0,1972
SOLLHMX12AB01846DC,AR1Y2PT1187FB5B9CE,463514,0,0,0.042,0.56075,0,0.56075,484.62322,28.172,0.377531645,4,0.283,-15.335,0,0.363,480.363,0.057,0.56075,138.007,4,0.893,0,0
SOYTPEP12AB0180E7B,ARAJPHH1187FB5566A,643400,0,0,0.812,0.10131,0.812,0.10131,164.80608,0,0.443291312,10,0.254,-10.922,1,0.042,156.177,0.879,0.10131,130.1,1,0,0,1964
SOGXHEG12AB018653E,AR0RCMP1187FB3F427,663761,0,0,0,0.24118,0,0.24118,133.32853,0,0,4,0.384,-9.983,1,0.402,130.009,0.515,0.04851,160.839,1,0,0,1992
SOOLYAZ12A6701F4A6,AREBBGV1187FB523D2,12882,0,0,0.616,0.40866,0.616,0.40866,173.66159,0,-1,7,0.299,-7.762,1,0.464,164.908,0.536,0.05133,41.993,1,0,0,0
SOGOSOV12AF72A285E,ARGUVEV1187B98BA17,270281,0,0,0.291,0.76895,0.219,0.09309,313.12934,0,-1,9,0.724,-9.512,1,0.364,307.688,0.372,0.09309,189.646,3,0.674,0,1997
SOJXVAH12A8C139700,ARPQ4Z01187FB3A736,244586,0,1,0.035,0.2438,0.604,0.2438,450.84689,0.467,0.593943076,4,0.726,-9.063,0,0.367,426.104,0.267,0.09307,130.586,4,0.42,0,0
SOVXMTN12A8C135A18,ARNQAVF11F4C844C04,157648,0,0,0.791,0.10104,0.895,0.10104,303.09832,0.067,-1,8,0.532,-8.879,0,0.516,294.818,0.764,0.10104,128.292,4,0.83,0,0
SORSECL12AB0182267,ARXUT4W1187FB48BEB,644631,0,0,0.359,0.77461,0.773,0.77461,128.83546,0,0.394394856,3,0,-17.699,1,0.251,121.423,0.302,0.77461,90.932,3,1,0,0
SOOGFBZ12AC3DF7FF2,ARDD1RC1187B9B52B4,730551,0,1,0.238,0.92047,0.908,0.23284,456.30649,0.241,0,1,0.611,-19.478,1,0.546,451.315,0,0.06094,89.667,4,0.747,0,0
SOMSBGZ12AB018C4CB,ARLGWFM1187FB4AC9F,709879,0,0,0.379,0.73465,0.268,0.28881,198.73914,0,0.450992312,7,0.673,-7.469,1,0.579,193.016,0.461,0.14044,115.061,4,0.731,0,2007
SONYRZV12AB018AF70,ARWYVP51187B98C516,706005,0,0,0.987,0.90181,0.471,0.38075,95.68608,0,0.528782481,2,0.421,-2.022,1,0.589,87.806,0.84,0.12215,115.887,4,0.744,0,2003
SONQBUB12A6D4F8ED0,ARFCUN31187B9AD578,42595,0,4,0.797,0.15016,0.797,0.15016,271.49016,0.171,0.83449262,9,0.301,-10.358,0,0.392,263.784,0.018,0.15016,139.333,1,0,0,0
SOHGKJW12AC468A8BD,AR6YDKV1187B989230,782470,0,0,0.016,0.86592,0.917,0.34973,226.66404,0.311,0,0,0.863,-12.716,1,0.671,219.51,0.646,0.34973,117.271,4,0.453,0,0
SOINBCU12A6D4F94C0,ARV1JVD1187B9AD195,28723,0,1,0.077,1.56662,0.799,0.37554,190.48444,0.258,0.510119314,3,0.544,-15.663,1,0.596,177.029,0.537,0.37554,102.428,4,0.496,0,1995
SOTWVQT12A58A79650,AR7TTS41187B9B42D3,557761,0,1,0.002,0.93659,0.885,0.275,277.78567,0.24,0.482137585,2,0,-6.944,1,0,267.453,0.963,0.275,89.984,4,0,0,2004
SOTSEJY12AB0180F56,ART3O5Z1187B9AB043,417945,0,1,0.008,0.74277,1,0.2077,248.78975,0.183,-1,1,0.754,-7.805,1,0.597,246.19,0.867,0.2077,116.721,4,0.522,0,1992
SOTSETT12AB01863B8,AR5U94U1187FB5CDCF,575531,0,1,0.058,0.32071,0.651,0.32071,195.3171,0,-1,7,0.98,-10.7,1,0.753,187.617,0.672,0.32071,123.142,4,0.678,0,2002
SOTUNMH12A6D4FA3E6,ARRJNTE1187FB44E12,234425,0,1,0.002,0.74575,0.706,0.32409,175.72526,0.734,0.785892288,0,0.522,-10.93,1,0.474,168.699,1,0.11431,141.919,4,0.445,0,2006
SOEPPKB12AB018418B,AR6IRG41187B9A4D98,505301,0,0,0.024,0.47086,0,0.47086,217.23383,1.042,-1,10,0.005,-9.493,0,0.305,213.496,0.283,0.15342,95.596,4,1,0,1995
SOGKIWV12A6D4F86C4,ARS1OWB1187B99EEAD,74655,0,1,0.877,0.12284,0.877,0.12284,344.05832,0.068,0.561692411,11,0.425,-9.253,1,0.486,335.029,0.56,0.12284,154.953,1,0,0,1974
SOPHYIS12AAF3B35A3,ARGMXQW1187FB54C34,322532,0,1,0.068,2.90946,0.675,0.14772,251.42812,0.071,0.43483809,7,0.391,-12.009,1,0.319,237.598,0.228,0.14772,86.091,5,0.551,0,2009
SOFHBAR12A6701D0FE,AROEL1B1187B988B90,14592,0,1,0.267,0.34237,1,0.34237,269.7922,0.218,0.405115722,7,0.715,-11.043,1,0.614,257.416,0.466,0.34237,90.218,4,1,0,1997
SOCPRKM12AB018A2FD,AR8W8DN1187FB35ED0,515081,0,1,0.276,0.05314,0.276,0.05314,206.05342,0,-1,11,0.641,-11.506,0,0.597,206.053,0.48,0.05314,133.144,1,0,0,1977
SOFGHAM12AB0186412,ARUWLCL1187FB549B8,765750,0,0,0.599,0.31943,0.462,0.02559,190.04036,0,-1,2,0.105,-14.179,1,0.433,176.924,0.626,0.02559,205.317,4,0,0,0
SODHVES12A6701CE6B,AR3793X1187FB50CB3,17220,0,1,0.386,0.42366,0,0.0889,241.162,0.549,0.767727748,9,0.222,-8.531,1,0.403,230.342,0.587,0.0889,180.149,4,0,0,1986
SOXIATP12AAF3B2184,ARINEWW1187FB5577E,617077,0,0,0.102,0.49054,0,0.49054,122.64444,0.99,0.43483809,0,0.61,-8.541,0,0.489,109.627,0.411,0.05812,102.538,4,0.869,0,1966
SOGNQWU12A8AE4868F,ARDGB6U1187FB3AD07,278999,0,2,0.453,8.99358,0.777,2.31778,207.0722,2.583,0.38293509,0,0.442,-6.629,1,0.371,202.757,0.516,2.31778,84.164,4,0.853,0,1985
SOYQOFI12A6D4F76E1,AR2J2WF1187FB46271,19601,0,0,0.008,1.1612,0.379,0.67535,300.79955,0,0.610474258,7,0.666,-13.33,1,0.658,298.347,0.249,0.42142,124.175,4,0.698,0,1995
SOVOLGY12A6D4F822B,ARUI8651187B9ACF52,38599,0,2,0.632,0.02909,0.632,0.02909,228.46649,0,0.226555314,7,0.458,-12.412,1,0.602,228.466,0.513,0.02909,137.004,1,0,0,1997
SOMZCVH12AB0182B8E,AR89DTT1187B9A7ED5,619882,0,1,0.114,0.96617,0.526,0.3834,239.59465,0.311,0.415983118,7,0.527,-21.552,1,0.613,236.507,0.488,0.08155,106.33,4,0.526,0,0
SONXJBL12AAF3B2C0C,ARMD0G81187B99A519,618615,0,0,0.572,1.06091,0.601,0.50472,228.93669,0.338,-1,11,0.172,-8.686,0,0.369,219.574,0.275,0.22871,107.961,4,1,0,0
SOYWZTU12AB0180E26,AR0VZWC1187B99BA57,681639,0,1,0.234,0.38387,0,0.38387,165.61587,2.171,0,1,0.108,-6.222,1,0.256,165.616,0.115,0.21142,174.287,3,0.132,0,2000
SOLGHDZ12AB0183B11,ARF2EHS1187B994F4E,449471,0,2,0.109,1.18583,1,0.15226,187.92444,0.328,0.685940227,0,0.612,-5.907,1,0.735,180.344,0.784,0.15226,116.823,4,0.347,0,2003
SOTNTNJ12AAA15FBD6,ARZKRD01187FB45FD2,321356,0,0,0.018,1.1958,0.611,0.01968,276.50567,0.299,0,0,0.29,-4.638,1,0.389,261.956,0.656,0.01968,101.972,4,1,0,0
SOXZXXV12AAF3B3A67,ARK4H5K1187B992F74,530141,0,0,0.084,0.89225,0.907,0.41788,200.25424,0,-1,11,0.056,-5.884,0,0.283,194.844,0.582,0.1801,127.97,4,0,0,0
SOPIKEG12A58291636,AR06EB01187FB40150,104765,0,3,0.081,0.76754,0.644,0.29609,144.50893,0.237,0.671236027,4,0.093,-7.787,0,0.423,140.057,0.829,0.0586,152.622,4,0.358,0,1992
SOIRNBO12AC468D207,ARKPDBH1242077DEB1,695158,0,0,0.668,0.1737,0.635,0.1737,285.17832,0,-1,7,0.379,-8.488,1,0.401,275.853,0.303,0.1737,110.787,3,1,0,0
SOSBDSF12AB0189007,ARBJSO81187B9BA09B,509770,0,1,0.393,1.74155,0.872,0.67947,246.69995,0.322,0.62616576,7,0.161,-9.603,1,0.205,224.049,0.399,0.42263,112.903,4,1,0,1990
SOIJXXM12A8C1416D6,ARRC2JF1187B9B6A93,223779,0,0,0.066,0.36508,0.948,0.36508,84.03546,0.328,0,7,0.469,-26.266,1,0.591,75.79,0.386,0.11188,115.642,4,0.44,0,1985
SOHMMMC12AB0181C42,ARNIFX51187FB418EA,466577,0,0,0.023,1.21595,1,0.25377,273.52771,2.177,0.199238262,1,0.652,-6.305,1,0.694,268.893,0.641,0.25377,125.013,4,1,0,2000
SOVJXVJ12A8C13517D,ARCCRTI11F4C845308,148547,0,0,0,0.36873,0.443,0.36873,298.84036,19.093,0.265861049,5,0.596,-9.998,1,0.567,289.46,0,0.16818,113.277,4,0.872,0,0
SOFZCTA12AB0188D8F,ARNVH8S1187FB52F86,423012,0,0,0.036,0.98426,0.883,0.36334,161.38404,0.165,0.237733942,5,0.665,-9.161,0,0.606,161.384,0.262,0.05327,96.979,4,0.895,0,1997
SOLRYQR12A670215BF,ARNLO5S1187B9B80CC,7133,0,1,0.812,0.34761,0.812,0.34761,209.29261,0,0.82448213,8,0.455,-4.865,1,0.48,206.623,0.775,0.14268,140.995,1,0.41,0,0
SOCHRXB12A8AE48069,ARTDQRC1187FB4EFD4,358442,0,1,0.933,1.1904,0.692,0.63902,229.61587,0,0.624425493,11,0.205,-4.882,0,0.332,213.664,0.41,0.36332,105.206,4,1,0,2004
SOKBBXO12A6701DEA0,ARK9TRQ1187B99C095,15567,0,7,0.018,1.76242,1,0.80838,426.89261,0.286,0.635536649,0,0.05,-12.951,0,0.395,399.9,1,0.33137,63.017,4,0.378,0,2000
SOWHYUG12A58A77FAB,ARODBRG1187FB3FD99,413222,0,2,0.023,0.85641,0.277,0.44094,269.26975,3.889,-1,9,0.052,-11.751,0,0.142,262.798,0.495,0.23321,144.603,4,0,0,0
SOYSTDI12A6D4F6500,ARMBYRO1187FB57419,80578,0,0,0.319,0.50432,0,0.14912,249.41669,0.647,0.198785349,2,0.883,-6.693,1,0.728,238.434,0.662,0.14912,167.92,4,0.75,0,0
SOOOROX12A6D4F8400,ARWY7I71187FB36C3D,26902,0,1,1,0.06727,1,0.06727,136.48934,0.229,-1,9,0.386,-9.091,1,0.632,130.026,0.782,0.06727,129.122,1,0,0,1963
SONSPZE12AB01819CE,AR6Y22S1187B99906F,633532,0,0,0.009,0.64544,1,0.19348,233.27302,0.386,0,0,0.53,-2.658,1,0.501,231.178,0.89,0.19348,132.022,4,0.782,0,2001
SOHWGFU12AB017B036,ARI5P4N1187FB3F44D,435830,0,0,0.87,0.302,0.87,0.302,187.24526,0.107,0.249065795,1,0.842,-4.42,1,0.721,178.625,0.598,0.13943,183.92,1,0.063,0,2005
SOQQVQJ12AB0185192,ARYPWUK1187B98ACED,495734,0,0,0.047,0.73058,0,0.73058,72.61995,0,-1,9,0,-11.051,0,0,68.365,0.202,0.56271,89.867,4,0.476,0,0
SODRHHD12AB0189F2A,ARW63KF1187B98AC48,664484,0,1,0.259,1.21926,0.707,0.19064,272.63955,2.775,-1,2,0.633,-9.97,1,0.605,272.64,0.128,0.19064,119.896,5,0.921,0,0
SOQGFVO12A8C13C8C3,AR8H87D1187FB3A841,112851,0,1,0.153,0.09896,1,0.09896,142.75873,0.218,-1,1,0.62,-11.335,0,0.814,135.546,0.614,0.09896,137.29,4,0,0,0
SORABMD12A8C136672,ARLWR721187B9A03C9,200689,0,0,0.635,0.52519,0.635,0.52519,194.11546,0.089,0.382723281,5,1,-15.581,1,0.886,182.729,0.479,0.15887,82.343,1,0.387,0,2002
SOTUBVH12AB018D2EC,ARF4V431187FB3AA41,682725,0,0,0.52,1.87142,0.431,0.61665,195.91791,0.165,-1,3,0.883,-11.98,1,0.735,192.087,0.444,0.20411,91.487,4,0,0,1990
SOMQAGT12A8C132DB4,ARBGWMW1187B9AEA3E,287804,0,3,0.083,3.56292,0.489,0.22888,118.33424,0,-1,9,0,-11.215,0,0,118.334,0.105,0.22888,84.69,5,0.678,0,1999
SOKLLOH12A67020F2C,AR6G4V01187B9AD086,220917,0,3,0.002,0.68393,1,0.15338,288.41751,0.113,0.725121284,2,0.08,-8.165,1,0.665,279.179,1,0.15338,115.606,4,0,0,2005
SONRLQH12AB017C232,ARVQ4QM1187B98AD95,629785,0,0,0,0.14694,0,0.14694,123.21914,1.001,-1,7,0.278,-12.69,0,0.482,118.079,0.599,0.14694,126.523,1,0,0,0
SODDZAD12A6701DC4C,AR9AM2N1187B9AD2F1,11305,0,2,0.02,0.72006,0.779,0.18905,283.76771,0,0.665172241,2,0.823,-8.7,1,0.69,271.83,1,0.18905,113.677,4,1,0,1990
SORENXV12A6701F61F,AR9XEVF1187B99D017,4967,0,0,0.069,1.76995,0.725,0.38749,239.3073,0.182,0.554654768,2,0.569,-5.758,1,0.601,220.264,0.542,0.04274,86.938,4,0.222,0,0
SOYMMDY12AB01825B2,ARCFOZ71187FB43A0D,325335,0,1,0.07,0.55647,1,0.13404,206.75873,0.096,0.304169503,0,0.613,-4.907,1,0.656,193.115,0.843,0.13404,141.936,4,0.634,0,0
SOJWQIP12A6D4F710A,ARHFEBO11F50C4825A,82932,0,0,0.613,0.24456,0.613,0.24456,134.81751,0,-1,11,0.847,-8.133,1,0.646,130.723,0,0.24456,106.049,1,0,0,0
SOOVOKS12AB017EE57,AR107SB1187B9A79F9,401583,0,0,0.275,1.1332,0.847,0.66297,285.64853,0.397,-1,8,0.508,-9.093,1,0.343,274.727,0.647,0.42645,126.88,4,0,0,0
SORWHWY12A6702038E,ARXWAQQ1187B9AE954,8552,0,1,0.058,2.95336,0.579,0.65164,124.18567,0,0.57010593,1,0.074,-10.296,0,0.492,121.005,0,0.16161,85.008,5,1,0,2001
SOGYYLE12A8C13E5EA,ARL6XZC1187FB3936E,217058,0,1,0,0.14324,0,0.14324,134.08608,4.441,-1,4,0.718,-12.839,0,0.674,130.38,0,0.14324,133.699,1,0,0,0
SOITUXQ12AB0183AE9,ARSDSMG1187B98CB59,489673,0,0,0.71,0.23005,0.71,0.23005,155.61098,0.154,-1,11,0.599,-13.71,1,0.517,150.75,1,0.23005,118.975,1,0.003,0,0
SOTWEZZ12A8C142B60,AR3WMW01187B9921F7,475992,0,0,0.104,0.94655,0.141,0.35387,275.40853,0,-1,9,0.376,-2.119,1,0.334,272.556,0.826,0.35387,102.408,4,0.395,0,0
SOUVRGZ12A58A77F90,AR3C3C01187B98E800,495041,0,0,0.043,1.38242,0.761,0.33359,223.4771,0.291,0,0,0,-14.438,1,0.138,220.026,0.783,0.33359,112.006,4,0.844,0,1961
SOBLTSM12A6D4F9EEA,ARDD9UN1187B98D3A7,225610,0,0,0.99,10.84083,0,1.34066,443.24526,0.23,0.270775999,1,0,-13.002,1,0.051,430.736,0.703,0.33736,45.527,4,0,0,0
SOUQVUD12A8C142DCE,ARJGNV61187B98F3B5,473710,0,0,0.159,1.66153,0.848,0.96449,177.81506,0.554,-1,4,0.695,-12.004,1,0.673,167.48,0.859,0.61541,85.621,4,0.612,0,2006
SOCRPDR12AB0185B75,ARSVI4L1187B996181,710902,0,0,0.148,1.59705,0,0.49298,385.33179,3.048,-1,8,0.822,-8.37,0,0.503,382.647,0.168,0.07835,108.061,4,1,0,2000
SOXVBVL12AF72A600C,ARVJ0JK1187B98C9C0,341940,0,0,0.233,0.95031,0,0.38454,324.44036,0,0.405115722,7,0.558,-11.829,1,0.718,312.239,0,0.38454,216.195,5,1,0,1995
SOIQHDR12AB01896C8,AR4PCIG1187B98D07D,766444,0,1,0.093,0.8598,0.616,0.41287,275.12118,0.34,0.242741879,7,0.699,-6.29,1,0.527,272.933,0.741,0.41287,132.428,4,0.281,0,0
SODLSHA12AAF3B29F2,AR1RHCO1187B9AF0BF,432406,0,0,0.079,0.15435,0,0.15435,294.66077,0.864,0.386790177,5,0.238,-15.761,0,0.07,282.564,0.513,0.15435,168.307,4,0,0,0
SOAGHMH12AB0180285,AR1X2H01187B98CCF2,546663,0,1,0.045,0.56594,0.662,0.14386,193.20118,0.497,-1,0,0.371,-27.433,1,0.484,190.003,0.21,0.14386,140.956,7,0.866,0,0
SORAVUP12AB018556E,ARBQBZV1187B99D29E,548374,0,1,0.053,0.6235,1,0.16237,357.82485,0.131,0.511254835,1,0.485,-5.701,1,0.427,353.785,1,0.16237,130.016,5,1,0,1991
SOFXNQP12AB0184F1A,AR9ODB41187FB459B2,704183,0,1,0.005,0.41054,1,0.0684,198.3473,0.201,0.460484845,11,0.306,-8.709,0,0.22,182.184,0.603,0.0684,175.769,4,0.7,0,1997
SOGQTRZ12A8C13C8B0,ARF3GX71187FB3EB66,307618,0,2,0.082,0.2688,0.871,0.2688,261.95546,0,0.488289876,7,0.96,-13.627,1,0.634,253.452,0.799,0.2688,100.194,3,1,0,2005
SOBHVZQ12AC9618285,AR3PN3R1187FB4CEBD,784530,0,1,0.025,0.87289,1,0.4435,176.27383,0.183,-1,2,0.171,-11.479,1,0.239,166.911,1,0.23251,151.911,4,0.231,0,1985
SOYPBCY12AB0181EF3,ARYWCFZ11E2835CFDD,534470,0,0,0.527,1.0873,0,0.58561,220.89098,0,-1,9,0.606,-6.302,1,0.475,213.107,0.584,0.34041,119.691,4,0.491,0,0
SOWRLSY12AC4687694,ARUT16P1187FB532A4,599659,0,0,0.193,0.56138,1,0.19121,235.91138,0.322,-1,10,0.46,-10.466,1,0.379,219.725,0.769,0.19121,161.976,4,0.696,0,0
SOOGQWR12A8C142505,AREOGMA1187B9908EF,372122,0,1,1,0.18671,1,0.18671,239.59465,0.31,-1,0,0.601,-9.275,1,0.563,231.3,0.551,0.18671,172.398,1,0,0,1971
SOJDYQY12AB0188C97,AR4ABL21187FB3913A,577023,0,0,0.132,1.49595,0.612,0.42142,171.49342,0.085,0,2,0.45,-37.398,1,0.685,165.216,0.531,0.1441,109.823,3,0.659,0,0
SOBHQUF12AB018B03E,AR8YV1I1187FB45D2B,572855,0,1,0.836,0.63247,0.836,0.63247,266.05669,0.23,0,1,0.936,-13.836,1,0.763,256.064,0.809,0.26631,90.101,1,0,0,0
SOFRAZJ12A8C143CDB,ARR9XGB1187B9912E6,523481,0,1,0.666,1.00904,0.853,0.49144,329.27302,0.45,0.345802234,8,0.497,-7.103,1,0.491,322.101,0.94,0.23264,116.473,4,1,0,1994
SONNDHT12A8C13F20B,ARBKUS51187B98A3AC,219943,0,0,0.026,0.97322,0.469,0.49835,198.922,0.228,0.333554807,9,0,-13.495,0,0.094,190.705,0.5,0.26092,126.821,4,0,0,0
SOYZOXW12A8C13E195,ARTB5PP1187FB523B7,266932,0,1,0.212,1.46125,0.741,0.36893,283.21914,0.258,0.617365618,2,0.499,-15.144,1,0.652,277.467,0.462,0.0982,111.191,3,0.851,0,1971
SOSGJTX12AB0181F7C,ARXFQDY1187B9AAF1E,514801,0,0,0.053,1.23225,0.771,0.75354,238.68036,0.386,-1,5,0.458,-12.991,1,0.542,230.742,0.046,0.50536,125.508,4,0.462,0,0
SOBQBWP12AB018611B,ARVEJ9M1187FB4DC44,421962,0,0,0.812,0.49594,0.812,0.49594,254.06649,0.43,0.394394856,4,0.446,-6.01,0,0.383,249.562,0.875,0.24195,137.888,1,0,0,1999
SODULLV12AB017FA09,ARTHEAP122BCFCD0B2,502384,0,0,0.01,1.01631,0,0.21294,184.31955,0.798,-1,6,0,-5.58,0,0,178.503,0.696,0.21294,150.012,4,0,0,0
SOYAGJM12A8C13DCCE,ARQESNI1187FB511EE,254792,0,0,0.006,0.60781,0.917,0.05514,311.40526,0,-1,10,0.685,-4.313,1,0.611,300.118,1,0.05514,108.367,4,0.36,0,0
SORXUZZ12A8AE4798A,ARCZ20M1187FB49687,138320,0,1,0.059,0.44814,0,0.09927,162.53342,0.524,0.374796837,2,0.243,-17.285,1,0.297,151.551,0.378,0.09927,173.482,4,0.804,0,0
SOCHXAE12AF72A25D6,ARDF8K01187FB37200,722546,0,1,0.08,1.31008,0,0.22523,212.37506,0.868,-1,4,0.372,-5.931,0,0.207,209.438,0.895,0.08957,110.745,4,1,0,2009
